product_name,product_link,link,option_1,option_2,option_3,shipping_option
PULSEIRA ONE DIRECTION,,http://pt.aliexpress.com/store/product/Romantic-Braided-heart-bracelete-infinite-Love-best-friends-Rope-charm-Bracelets-for-women-Leather-Bracelet-men/334595_32245231878.html,,,,
RELOGIO PANDA,,http://pt.aliexpress.com/store/product/New-Luxury-Brand-Quartz-Watches-Women-Casual-Dress-Clocks-Leather-Strap-Wristwatches-Fashion-Cute-Panda-Print/1091026_32383515996.html,,,,
PULSEIRA ANCORA /ARVORE/POMBINHOS ..,,http://pt.aliexpress.com/item/Charm-Vintage-Multilayer-Charm-Leather-Bracelet-Women-Owl-Cross-Believe-Bracelets-Cheap-Statement-Jewelry-Lady-Best/32276599465.html?adminSeq=117318877&shopNumber=605091,,,,
PULSEIRA HARRY POTTER,,http://pt.aliexpress.com/item/Infinity-Bracelet-vintage-Harry-Potter-bracelet-deathly-hallows-link-Bracelets-Charms-Bracelet-good-gift/32331382763.html,,,,
RELOGIO AZUL,,http://pt.aliexpress.com/item/Fashion-Women-s-Watch-Woman-Girls-Dress-Clocks-Geneva-Waves-Style-Quartz-Leather-Watch-Montre/32443202155.html,,,,
PULSEIRA POMBINHOS / BIKE..,,http://pt.aliexpress.com/item/Mix-Infinity-love-leather-love-owl-Leaf-charm-handmade-bracelet-bangles-jewelry-friendship-gift-items/1821183348.html?adminSeq=202401490&shopNumber=619852,,,,
PULSEIRA GUITARRA,,http://pt.aliexpress.com/item/4pcs-Mixed-Guitar-Bracelet-Charm-Genuine-Leather-Bracelets-Men-Bracelets-for-Women-Gifts/32259574312.html,,,,
PULSEIRA COURO CRUZ,http://bijuchique.com/shop/pulseira-couro-cruz/,http://pt.aliexpress.com/item/Cross-Bracelets-Charm-Bracelet-100-Brand-Genuine-Leather-Bracelets-Mens-Bracelets-2014-Bracelets-Bangles/32260267782.html?adminSeq=202401508&shopNumber=818607,,,,
PULSEIRA ANCORA ROSA /AZUL /PRETA ...,,http://pt.aliexpress.com/item/Free-shipping-Fashion-Vintage-Infinity-Anchor-Hook-Artificial-leather-Leather-Bracelet-Men-Women-Bracelets-Bangles-Jewelry/1755060315.html?adminSeq=202401490&shopNumber=619852,,,,
PULSEIRA ANCORA DOURADA ,,http://pt.aliexpress.com/store/product/Wholesale-New-Fashion-18K-gold-filled-leather-rope-chain-anchor-charm-bracelets-Valentine-s-Day-gift/805930_32267925766.html,,,,
COLAR GARRAFA DE CRISTAIS VERMELHO,http://bijuchique.com/shop/colar-garrafa-de-cristais-vermelho-2/,http://pt.aliexpress.com/store/product/Creative-New-Women-Fashion-Necklace-Ladies-Popular-Crystal-Necklace-Love-Drift-Bottles-Special-Pendant-Necklace/1331960_32398901895.html,,,,
COLAR GARRAFAS CRISTAIS AZUIS,,"http://pt.aliexpress.com/item/Stylish-3-1-5CM-Blue-Women-Beautiful-Crystal-Necklace-Romantic-Love-Drift-Bottles-adjusted-length-Necklack/32508879331.html?spm=2114.02010208.3.11.qjztyE&ws_ab_test=searchweb201556_0,searchweb201602_5_10037_10017_507_10033_10032_10040,searchweb201603_7&btsid=12833bd0-60c7-4e60-8fad-7ef1224c56cb",,,,
PULSEIRA BRANCA TORRE EIFFEL,,http://pt.aliexpress.com/item/Love-Heart-Eiffel-Tower-Friendship-multilayer-leather-Double-infinite-Charrm-bracelet-Anchor-bracelets-bangles-pulseira-couro/32314259105.html?adminSeq=201988851&shopNumber=334595,,,,
ANEL 3 PEÇAS OURO PRATA,,"http://pt.aliexpress.com/item/3Pcs-Set-Fashion-Top-Of-Finger-Over-The-Midi-Tip-Finger-Above-The-Knuckle-Open-Ring/1946950432.html?spm=2114.30010508.3.74.oobpDO&ws_ab_test=searchweb201556_9,searchweb201644_3_505_506_503_504_301_502_10001_10002_10017_10010_10005_10011_10006_10003_10004_10009_10008,searchweb201560_5,searchweb1451318400_-1,searchweb1451318411_6452&btsid=2b41f145-b88d-4ac3-93bc-f6fd8fc5686d",,,,
PULSEIRA COURO,,"http://pt.aliexpress.com/item/Men-Or-Women-Wrap-Multilayer-Genuine-Leather-Bracelet-with-Braided-rope-Fashion-Jewelry/2046749331.html?spm=2114.02020208.3.47.OXLPLB&ws_ab_test=searchweb201556_9,searchweb201644_3_505_506_503_504_301_10020_502_10001_10002_10017_10010_10005_10006_10011_10003_10021_10004_10022_10009_401_10008_10018_10019,searchweb201560_5,searchweb1451318400_-1,searchweb1451318411_6452&btsid=ea82425c-8975-4101-b404-d63f6abd9c6d",,,,
COLAR TORRE EIFFEL/CRUZ/PINGETES,,http://pt.aliexpress.com/item/2015-Summer-Hot-Fashion-Gold-Plated-Fatima-Hand-3-Layer-Chain-Bar-Necklace-Beads-and-Long/32376586424.html?detailNewVersion=2,,,,
